dataset_id,scenario,rep,sim_in_rep,attempt_used,perm_seed,u_seed,u_value,p_perm,p_midp,p_bootei,p_rand,p_asym,p_fisher,sig_perm,sig_midp,sig_bootei,sig_rand,sig_asym,sig_fisher,n,k_row,k_col,alpha,theta
H1Power_rep001_sim0001,H1 (Power),1,1,1,102980,152976,0.9497499086428434,0.007598480303939212,0.0037,0.007598480303939212,0.007028149323957041,0.0015654022580025519,0.00793650793650794,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0002,H1 (Power),1,2,1,202980,252976,0.7425621110014617,1,0.7493,0.5076984603079384,0.8709206424561329,0.7781596861761657,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0003,H1 (Power),1,3,1,302980,352976,0.3743701842613518,0.07178564287142572,0.0358,0.008998200359928014,0.02680490519311279,0.015725299754505418,0.06666666666666667,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0004,H1 (Power),1,4,1,402980,452976,0.9196075624786317,0.03079384123175365,0.0153,0.014797040591881624,0.02813999141184613,0.011229886652916696,0.03333333333333336,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0005,H1 (Power),1,5,1,502980,552976,0.132296682568267,0.19976004799040192,0.1039,0.07878424315136973,0.0335215850435663,0.05777957112359754,0.2063492063492063,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0006,H1 (Power),1,6,1,602980,652976,0.41699281777255237,0.1903619276144771,0.0996,0.04339132173565287,0.08455909858038649,0.09763453614071978,0.18333333333333335,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0007,H1 (Power),1,7,1,702980,752976,0.711964454036206,1,0.7327,0.9464107178564287,0.8460161971277558,0.8803033704474621,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0008,H1 (Power),1,8,1,802980,852976,0.3872398550156504,0.563887222555489,0.3751,0.22635472905418916,0.33254432128290645,0.4291953004403491,0.5714285714285715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0009,H1 (Power),1,9,1,902980,952976,0.9166401813272387,0.5670865826834633,0.3766,0.30093981203759246,0.5352565810494125,0.4291953004403491,0.5714285714285715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408
H1Power_rep001_sim0010,H1 (Power),1,10,1,1002980,1052976,0.6276935744099319,0.381123775244951,0.1997,0.1801639672065587,0.2460016900810413,0.2356799134290376,0.3777777777777777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408
