case_id,rank,test,label,combo_brief,combo_members,n_raw_combinations,dose_ppm_levels,species_sex_set,organs,endpoints,endpoint_classes,source,x0,n0,x1,n1,p0,p1,p_pool,omega_cal,n_perm_target,n_bootei_target,saved_n,saved_frac,power_target,alpha,R_power,B_power,MC_per_n,max_n_grid,reached_perm,reached_bootei,shrink_chi2,omega_cap
1,1,chisq,Observed unique 2x2: 0 ppm 0/50 vs dose 10/50 (dose levels represented: {3000}),"Male rat – Larynx – Squamous cell hyperplasia [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 10/50 (increase)","Male rat – Larynx – Squamous cell hyperplasia [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 10/50 (increase)",1,3000,Male rat,Larynx,Squamous cell hyperplasia,non_neoplastic,"Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, male).",0,50,10,50,0,0.2,0.1,3.1136386984854334,134,134,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
2,2,chisq,Observed unique 2x2: 0 ppm 0/50 vs dose 13/50 (dose levels represented: {3000}),"Male rat – Nasal cavity – Adhesion: turbinate [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 13/50 (increase)","Male rat – Nasal cavity – Adhesion: turbinate [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 13/50 (increase)",1,3000,Male rat,Nasal cavity,Adhesion: turbinate,non_neoplastic,"Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, male).",0,50,13,50,0,0.26,0.13,3.418406500287699,114,114,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
3,3,chisq,Observed unique 2x2: 0 ppm 0/50 vs dose 15/50 (dose levels represented: {3000}),"Male rat – Lung – Inflammation with foreign body [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 15/50 (increase)","Male rat – Lung – Inflammation with foreign body [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 15/50 (increase)",1,3000,Male rat,Lung,Inflammation with foreign body,non_neoplastic,"Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, male).",0,50,15,50,0,0.3,0.15,3.598756450436425,72,72,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
4,4,chisq,"Observed unique 2x2: 0 ppm 0/50 vs dose 16/50 (dose levels represented: {1000,3000})","Collapses 2 identical study combinations: Female rat – Nasal cavity – Squamous cell hyperplasia: respiratory epithelium [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 16/50 (increase) || Female rat – Nasal cavity – Rhinitis [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 16/50 (increase)","Female rat – Nasal cavity – Squamous cell hyperplasia: respiratory epithelium [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 16/50 (increase) || Female rat – Nasal cavity – Rhinitis [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 16/50 (increase)",2,"1000,3000",Female rat,Nasal cavity,Squamous cell hyperplasia: respiratory epithelium | Rhinitis,non_neoplastic,"Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",0,50,16,50,0,0.32,0.16,3.686296459069384,74,74,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
5,5,chisq,Observed unique 2x2: 0 ppm 0/50 vs dose 18/50 (dose levels represented: {300}),"Male rat – Eye – Degeneration: cornea [non_neoplastic], 0 vs 300 ppm: 0/50 vs 18/50 (increase)","Male rat – Eye – Degeneration: cornea [non_neoplastic], 0 vs 300 ppm: 0/50 vs 18/50 (increase)",1,300,Male rat,Eye,Degeneration: cornea,non_neoplastic,"Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, male).",0,50,18,50,0,0.36,0.18,3.8603454414156397,66,66,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
6,6,chisq,Observed unique 2x2: 0 ppm 0/50 vs dose 19/50 (dose levels represented: {3000}),"Male rat – Nasal cavity – Squamous cell carcinoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 19/50 (increase)","Male rat – Nasal cavity – Squamous cell carcinoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 19/50 (increase)",1,3000,Male rat,Nasal cavity,Squamous cell carcinoma,neoplastic,"Furukawa et al. 2024, Table 1 (neoplastic lesions, male).",0,50,19,50,0,0.38,0.19,3.9481414696234496,62,62,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
7,7,chisq,"Observed unique 2x2: 0 ppm 0/50 vs dose 1/50 (dose levels represented: {1000,3000})","Collapses 7 identical study combinations: Male rat – Nasal cavity – Adenosquamous carcinoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Nasal cavity – Carcinosarcoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Nasal cavity – Sarcoma NOS [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Larynx – Squamous cell carcinoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Nasal cavity – Adhesion: turbinate [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 1/50 (increase) || Male rat – Lung – Inflammation with foreign body [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 1/50 (increase) || Female rat – Nasal cavity – Squamous cell papilloma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase)","Male rat – Nasal cavity – Adenosquamous carcinoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Nasal cavity – Carcinosarcoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Nasal cavity – Sarcoma NOS [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Larynx – Squamous cell carcinoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase) || Male rat – Nasal cavity – Adhesion: turbinate [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 1/50 (increase) || Male rat – Lung – Inflammation with foreign body [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 1/50 (increase) || Female rat – Nasal cavity – Squamous cell papilloma [neoplastic], 0 vs 3000 ppm: 0/50 vs 1/50 (increase)",7,"1000,3000",Male rat | Female rat,Nasal cavity | Larynx | Lung,Adenosquamous carcinoma | Carcinosarcoma | Sarcoma NOS | Squamous cell carcinoma | Adhesion: turbinate | Inflammation with foreign body | Squamous cell papilloma,"neoplastic, non_neoplastic","Furukawa et al. 2024, Table 1 (neoplastic lesions, male). || Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, male). || Furukawa et al. 2024, Table 1 (neoplastic lesions, female).",0,50,1,50,0,0.02,0.01,1,NA,45,NA,NA,0.8,0.05,500,100,100,2000,FALSE,TRUE,0.3,200
8,8,chisq,Observed unique 2x2: 0 ppm 0/50 vs dose 21/50 (dose levels represented: {3000}),"Male rat – Nasal cavity – Combined nasal tumors (B + C + D) [neoplastic], 0 vs 3000 ppm: 0/50 vs 21/50 (increase)","Male rat – Nasal cavity – Combined nasal tumors (B + C + D) [neoplastic], 0 vs 3000 ppm: 0/50 vs 21/50 (increase)",1,3000,Male rat,Nasal cavity,Combined nasal tumors (B + C + D),neoplastic,"Furukawa et al. 2024, Table 1 (neoplastic lesions, male).",0,50,21,50,0,0.42,0.21,4.127925738397583,50,50,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
9,9,chisq,"Observed unique 2x2: 0 ppm 0/50 vs dose 22/50 (dose levels represented: {1000,3000})","Collapses 3 identical study combinations: Male rat – Nasal cavity – Squamous cell metaplasia: respiratory epithelium [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 22/50 (increase) || Male rat – Eye – Keratitis [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 22/50 (increase) || Male rat – Eye – Keratitis [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 22/50 (increase)","Male rat – Nasal cavity – Squamous cell metaplasia: respiratory epithelium [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 22/50 (increase) || Male rat – Eye – Keratitis [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 22/50 (increase) || Male rat – Eye – Keratitis [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 22/50 (increase)",3,"1000,3000",Male rat,Nasal cavity | Eye,Squamous cell metaplasia: respiratory epithelium | Keratitis,non_neoplastic,"Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, male).",0,50,22,50,0,0.44,0.22,4.220840778110655,47,47,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
10,10,chisq,Observed unique 2x2: 0 ppm 0/50 vs dose 28/50 (dose levels represented: {1000}),"Female rat – Nasal cavity – Squamous cell metaplasia: respiratory epithelium [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 28/50 (increase)","Female rat – Nasal cavity – Squamous cell metaplasia: respiratory epithelium [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 28/50 (increase)",1,1000,Female rat,Nasal cavity,Squamous cell metaplasia: respiratory epithelium,non_neoplastic,"Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",0,50,28,50,0,0.56,0.28,4.84814659967479,39,39,0,0,0.8,0.05,500,100,100,2000,TRUE,TRUE,0.3,200
