endpoint_id,species,sex,organ,endpoint,endpoint_class,count_source,dose_ppm,x0,n0,x1,n1,p0_obs,p1_obs,effect_direction,degenerate_obs,table_key,combo_label,source,case_id,kept_for_sim,exclusion_reason
RF_EYE_CORDEG,rat,Female,Eye,Degeneration: cornea,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",300,5,50,16,50,0.1,0.32,increase,FALSE,5_50_16_50,"Female rat – Eye – Degeneration: cornea [non_neoplastic], 0 vs 300 ppm: 5/50 vs 16/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",39,TRUE,kept
RF_EYE_CORDEG,rat,Female,Eye,Degeneration: cornea,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",1000,5,50,11,50,0.1,0.22,increase,FALSE,5_50_11_50,"Female rat – Eye – Degeneration: cornea [non_neoplastic], 0 vs 1000 ppm: 5/50 vs 11/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",38,TRUE,kept
RF_EYE_CORDEG,rat,Female,Eye,Degeneration: cornea,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",3000,5,50,0,50,0.1,0,decrease,FALSE,5_50_0_50,"Female rat – Eye – Degeneration: cornea [non_neoplastic], 0 vs 3000 ppm: 5/50 vs 0/50 (decrease)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",37,TRUE,kept
RF_EYE_KER,rat,Female,Eye,Keratitis,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",300,1,50,12,50,0.02,0.24,increase,FALSE,1_50_12_50,"Female rat – Eye – Keratitis [non_neoplastic], 0 vs 300 ppm: 1/50 vs 12/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",27,TRUE,kept
RF_EYE_KER,rat,Female,Eye,Keratitis,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",1000,1,50,12,50,0.02,0.24,increase,FALSE,1_50_12_50,"Female rat – Eye – Keratitis [non_neoplastic], 0 vs 1000 ppm: 1/50 vs 12/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",27,TRUE,exact_duplicate_2x2_collapsed
RF_EYE_KER,rat,Female,Eye,Keratitis,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",3000,1,50,5,50,0.02,0.1,increase,FALSE,1_50_5_50,"Female rat – Eye – Keratitis [non_neoplastic], 0 vs 3000 ppm: 1/50 vs 5/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",30,TRUE,kept
RF_LAR_SQCAR,rat,Female,Larynx,Squamous cell carcinoma,neoplastic,"Table 1 (neoplastic lesions, female)",300,0,50,0,50,0,0,same,TRUE,0_50_0_50,"Female rat – Larynx – Squamous cell carcinoma [neoplastic], 0 vs 300 ppm: 0/50 vs 0/50 (same)","Furukawa et al. 2024, Table 1 (neoplastic lesions, female).",NA,FALSE,observed_degenerate_all0_or_all1
RF_LAR_SQCAR,rat,Female,Larynx,Squamous cell carcinoma,neoplastic,"Table 1 (neoplastic lesions, female)",1000,0,50,0,50,0,0,same,TRUE,0_50_0_50,"Female rat – Larynx – Squamous cell carcinoma [neoplastic], 0 vs 1000 ppm: 0/50 vs 0/50 (same)","Furukawa et al. 2024, Table 1 (neoplastic lesions, female).",NA,FALSE,observed_degenerate_all0_or_all1
RF_LAR_SQCAR,rat,Female,Larynx,Squamous cell carcinoma,neoplastic,"Table 1 (neoplastic lesions, female)",3000,0,50,0,50,0,0,same,TRUE,0_50_0_50,"Female rat – Larynx – Squamous cell carcinoma [neoplastic], 0 vs 3000 ppm: 0/50 vs 0/50 (same)","Furukawa et al. 2024, Table 1 (neoplastic lesions, female).",NA,FALSE,observed_degenerate_all0_or_all1
RF_LAR_SQHYP,rat,Female,Larynx,Squamous cell hyperplasia,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",300,0,50,0,50,0,0,same,TRUE,0_50_0_50,"Female rat – Larynx – Squamous cell hyperplasia [non_neoplastic], 0 vs 300 ppm: 0/50 vs 0/50 (same)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",NA,FALSE,observed_degenerate_all0_or_all1
RF_LAR_SQHYP,rat,Female,Larynx,Squamous cell hyperplasia,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",1000,0,50,0,50,0,0,same,TRUE,0_50_0_50,"Female rat – Larynx – Squamous cell hyperplasia [non_neoplastic], 0 vs 1000 ppm: 0/50 vs 0/50 (same)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",NA,FALSE,observed_degenerate_all0_or_all1
RF_LAR_SQHYP,rat,Female,Larynx,Squamous cell hyperplasia,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",3000,0,50,8,50,0,0.16,increase,FALSE,0_50_8_50,"Female rat – Larynx – Squamous cell hyperplasia [non_neoplastic], 0 vs 3000 ppm: 0/50 vs 8/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",24,TRUE,exact_duplicate_2x2_collapsed
RF_LNG_EDEMA,rat,Female,Lung,Edema,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",300,1,50,1,50,0.02,0.02,same,FALSE,1_50_1_50,"Female rat – Lung – Edema [non_neoplastic], 0 vs 300 ppm: 1/50 vs 1/50 (same)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",28,TRUE,exact_duplicate_2x2_collapsed
RF_LNG_EDEMA,rat,Female,Lung,Edema,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",1000,1,50,2,50,0.02,0.04,increase,FALSE,1_50_2_50,"Female rat – Lung – Edema [non_neoplastic], 0 vs 1000 ppm: 1/50 vs 2/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",29,TRUE,kept
RF_LNG_EDEMA,rat,Female,Lung,Edema,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",3000,1,50,11,50,0.02,0.22,increase,FALSE,1_50_11_50,"Female rat – Lung – Edema [non_neoplastic], 0 vs 3000 ppm: 1/50 vs 11/50 (increase)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",26,TRUE,kept
RF_LNG_FBI,rat,Female,Lung,Inflammation with foreign body,non_neoplastic,"Table 2 (selected non-neoplastic lesions, female)",300,0,50,0,50,0,0,same,TRUE,0_50_0_50,"Female rat – Lung – Inflammation with foreign body [non_neoplastic], 0 vs 300 ppm: 0/50 vs 0/50 (same)","Furukawa et al. 2024, Table 2 (selected non-neoplastic lesions, female).",NA,FALSE,observed_degenerate_all0_or_all1
